Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
sbmA	BW25113_RS01950	392095	393315	peptide antibiotic/peptide nucleic acid transporter
menD	BW25113_RS11830	2371068	2372738	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
yfbO	BW25113_RS11880	2382114	2382536	uncharacterized protein YfbO
dapA	BW25113_RS12930	2592241	2593119	4-hydroxy-tetrahydrodipicolinate synthase
nanE	BW25113_RS16710	3363706	3364395	probable <i>N</i>-acetylmannosamine-6-phosphate 2-epimerase
yhjE	BW25113_RS18260	3668146	3669468	putative transporter YhjE
guaD	BW25113_RS14990	3019128	3020444	guanine deaminase
hinT	BW25113_RS05740	1157341	1157700	purine nucleoside phosphoramidase
ybbA	BW25113_RS02555	515189	515875	putative ABC transporter ATP-binding protein YbbA
sufD	BW25113_RS08795	1754777	1756048	Fe-S cluster scaffold complex subunit SufD
RS19135	BW25113_RS19135	3854533	3855347	hypothetical protein
proV	BW25113_RS13935	2798174	2799376	glycine betaine ABC transporter ATP binding subunit ProV
dmlA	BW25113_RS09420	1876169	1877254	D-malate/3-isopropylmalate dehydrogenase (decarboxylating)
rnlB	BW25113_RS13725	2760343	2760714	CP4-57 prophage; antitoxin RnlB
envZ	BW25113_RS17640	3527875	3529227	sensor histidine kinase EnvZ
RS23635	BW25113_RS23635	1199457	1199636	DUF4222 domain-containing protein
yfcL	BW25113_RS12140	2437370	2437648	PF08891 family protein YfcL
lplA	BW25113_RS25850	4612918	4613934	lipoate&mdash;protein ligase A
glnD	BW25113_RS00835	182465	185137	protein-PII uridylyltransferase/uridylyl-removing enzyme
rpsB	BW25113_RS00845	186361	187086	30S ribosomal protein S2
yrdA	BW25113_RS17005	3422595	3423149	hexapeptide repeats-containing protein YrdA
tdcR	BW25113_RS26040	3260739	3260957	DNA-binding transcriptional activator TdcR
caiC	BW25113_RS00195	36271	37824	carnitine&mdash;CoA ligase
hsdS	BW25113_RS22635	4569885	4571279	type I restriction enzyme EcoKI specificity subunit
fabA	BW25113_RS04945	1011408	1011926	&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase
murQ	BW25113_RS12665	2539132	2540028	<i>N</i>-acetylmuramic acid 6-phosphate etherase
glnL	BW25113_RS20075	4048650	4049699	protein histidine kinase NtrB
dolP	BW25113_RS16330	3289768	3290343	division and outer membrane stress-associated lipid-binding lipoprotein
pssA	BW25113_RS13500	2716086	2717441	phosphatidylserine synthase
ulaC	BW25113_RS21795	4411525	4411989	L-ascorbate specific PTS enzyme IIA component
hyaD	BW25113_RS05060	1031226	1031813	putative hydrogenase 1 maturation protease HyaD
yjeI	BW25113_RS21530	4362626	4362979	DUF4156 domain-containing lipoprotein YjeI
ybfD	BW25113_RS03655	733548	734306	ISAs1 family transposase
fumC	BW25113_RS08430	1679442	1680845	fumarase C
holB	BW25113_RS05720	1151218	1152222	DNA polymerase III subunit &delta;'
yfjM	BW25113_RS13715	2758872	2759135	CP4-57 prophage; protein YfjM
dgkA	BW25113_RS20990	4246565	4246933	diacylglycerol kinase
frwD	BW25113_RS20510	4137066	4137407	putative PTS enzyme IIB component FrwD
citE	BW25113_RS03205	645038	645946	citrate lyase &beta; subunit
clcB	BW25113_RS08330	1659536	1660828	putative chloride:H<sup>+</sup> antiporter ClcB
paaG	BW25113_RS07315	1452521	1453309	putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)
dcp	BW25113_RS08065	1619592	1621637	peptidyl-dipeptidase Dcp
dgoT	BW25113_RS19185	3863798	3865135	D-galactonate:H<sup>+</sup> symporter
yciT	BW25113_RS06715	1337854	1338603	DNA-binding transcriptional dual regulator YciT
fkpB	BW25113_RS00135	25826	26275	peptidyl-prolyl <i>cis-trans</i> isomerase FkpB
ydcI	BW25113_RS07460	1488405	1489328	DNA-binding transcriptional dual regulator YdcI
rhsD	BW25113_RS02565	518717	522997	protein RhsD
cpxR	BW25113_RS20305	4094900	4095598	DNA-binding transcriptional dual regulator CpxR
nhaA	BW25113_RS00090	17489	18655	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA
marR	BW25113_RS08020	1613377	1613811	DNA-binding transcriptional repressor MarR
tyrB	BW25113_RS21050	4257042	4258235	tyrosine aminotransferase
lldP	BW25113_RS18715	3770759	3772414	lactate/glycolate:H<sup>+</sup> symporter LldP
ykfG	BW25113_RS01250	259967	260443	CP4-6 prophage; RadC-like JAB domain-containing protein YkfG
potI	BW25113_RS04450	892540	893385	putrescine ABC transporter membrane subunit PotI
abpB	BW25113_RS13705	2754710	2756899	CP4-57 prophage; putative helicase YfjK
eutG	BW25113_RS12790	2561683	2562870	putative alcohol dehydrogenase EutG
dnaJ	BW25113_RS00075	14168	15298	chaperone protein DnaJ
rpoB	BW25113_RS20685	4171173	4175201	RNA polymerase subunit &beta;
ompX	BW25113_RS04230	845906	846421	outer membrane protein OmpX
baeS	BW25113_RS10850	2156357	2157760	sensor histidine kinase BaeS
yadG	BW25113_RS00635	139266	140192	putative ABC transporter ATP-binding protein YadG
yicL	BW25113_RS19005	3831608	3832531	putative transporter YicL
rnc	BW25113_RS13395	2696742	2697422	RNase III
RS03875	BW25113_RS03875	776603	776678	tRNA-Lys
ydiR	BW25113_RS08885	1774658	1775596	putative electron transfer flavoprotein subunit YdiR
ubiT	BW25113_RS16365	3294111	3294635	anaerobic ubiquinone biosynthesis accessory factor UbiT
rbn	BW25113_RS11850	2375087	2376004	ribonuclease BN
yigZ	BW25113_RS19965	4025852	4026466	IMPACT family member YigZ
yfgG	BW25113_RS13065	2622649	2622840	nickel/cobalt stress response protein YfgG
gntU	BW25113_RS17790	3569081	3570421	low-affinity gluconate transporter
lptC	BW25113_RS16580	3336195	3336770	lipopolysaccharide transport system protein LptC
ymfQ	BW25113_RS05985	1202369	1202953	e14 prophage; DUF2313 domain-containing protein YmfQ
pth	BW25113_RS06270	1253385	1253969	peptidyl-tRNA hydrolase
mukE	BW25113_RS04785	971078	971782	chromosome partitioning protein MukE
nudB	BW25113_RS09780	1942437	1942889	dihydroneopterin triphosphate diphosphatase
RS14875	BW25113_RS14875	2989731	2990959	IS3-like element IS2 family transposase
mgrB	BW25113_RS09565	1902880	1903023	PhoQ kinase inhibitor
citX	BW25113_RS03195	642940	643491	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
yhhY	BW25113_RS17815	3574498	3574986	<i>N</i>-acetyltransferase YhhY
atpD	BW25113_RS19400	3909353	3910735	ATP synthase F<sub>1</sub> complex subunit &beta;
elaA	BW25113_RS11845	2374561	2375022	putative acetyltransferase ElaA
treR	BW25113_RS22025	4456116	4457063	DNA-binding transcriptional repressor TreR
yeiQ	BW25113_RS11340	2259724	2261190	putative oxidoreductase YeiQ
cyoE	BW25113_RS02215	442271	443161	heme O synthase
yaeR	BW25113_RS00935	208364	208753	VOC domain-containing protein YaeR
sdaC	BW25113_RS14545	2921588	2922877	L-serine:H+ symporter
yiaN	BW25113_RS18575	3738164	3739441	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit
yaiI	BW25113_RS02005	401220	401678	DUF188 domain-containing protein YaiI
dam	BW25113_RS17550	3508436	3509272	DNA adenine methyltransferase
yedE	BW25113_RS10095	2001758	2002963	putative selenium transporter YedE
RS19570	BW25113_RS19570	3943920	3945564	acetolactate synthase 2 catalytic subunit
tsaC	BW25113_RS17020	3424202	3424774	L-threonylcarbamoyladenylate synthase
fumE	BW25113_RS15220	3068045	3068554	fumarase E
rfbA	BW25113_RS10650	2103619	2104500	glucose-1-phosphate thymidylyltransferase 1
iscA	BW25113_RS13185	2652922	2653245	iron-sulfur cluster insertion protein IscA
ybjX	BW25113_RS04555	913584	914540	DUF535 domain-containing protein YbjX
RS10330	BW25113_RS10330	2038030	2038105	tRNA-Asn
phoP	BW25113_RS05880	1185232	1185903	DNA-binding transcriptional dual regulator PhoP
rnk	BW25113_RS03175	639013	639423	nucleoside diphosphate kinase regulator
RS25765	BW25113_RS25765	3744278	3744466	hypothetical protein
nrdF	BW25113_RS13930	2796861	2797820	ribonucleoside-diphosphate reductase 2 subunit &beta;
hicA	BW25113_RS07545	1503543	1503719	mRNA interferase toxin HicA
gadC	BW25113_RS07820	1563211	1564746	L-glutamate:4-aminobutyrate antiporter
hldE	BW25113_RS15850	3188679	3190112	fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase
ybjG	BW25113_RS04365	878248	878844	undecaprenyl pyrophosphate phosphatase
hscC	BW25113_RS03375	677179	678849	chaperone protein HscC
rzpQ	BW25113_RS08145	1633287	1633784	Qin prophage; DUF2514 domain-containing protein RzpQ
ydcS	BW25113_RS07560	1505911	1507056	putative ABC transporter periplasmic binding protein / polyhydroxybutyrate synthase
RS01930	BW25113_RS01930	388432	389874	autotransporter outer membrane beta-barrel domain-containing protein
syd	BW25113_RS14530	2918094	2918639	SecY-interacting protein
rplT	BW25113_RS08980	1793650	1794006	50S ribosomal protein L20
nuoG	BW25113_RS11925	2390918	2393644	NADH:quinone oxidoreductase subunit G
livH	BW25113_RS17895	3588837	3589763	branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH
putA	BW25113_RS05275	1070376	1074338	fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA
nfrB	BW25113_RS02950	586397	588634	cyclic di-3',5'-guanylate-activated glycosyltransferase
yfeH	BW25113_RS12570	2520305	2521303	putative solute:Na<sup>+</sup> symporter
rseP	BW25113_RS00880	193033	194385	intramembrane zinc metalloprotease RseP
ynaK	BW25113_RS07155	1419634	1419897	Rac prophage; ParB-like nuclease domain-containing protein YnaK
yihM	BW25113_RS20100	4054525	4055505	putative TIM barrel domain-containing protein YihM
